stop_id,name,kind,location_type,parent_station_id,parent_station_name,platform_code,latitude,longitude,is_boardable,issues
"70144","Boston University Central","platform","0","place-bucen","","","42.350013","-71.106902","true","parent_not_loaded"
"926","Brighton Ave @ Cambridge St","platform","0","","","","42.353347","-71.136687","true","missing_parent_station"
"962","Brighton Ave @ Linden St","platform","0","","","","42.352908","-71.130286","true","missing_parent_station"
"960","Brighton Ave @ Malvern St","platform","0","","","","42.352354","-71.125623","true","missing_parent_station"
"1811","Brookline St @ Granite St","platform","0","","","","42.355374","-71.109987","true","missing_parent_station"
"1816","Brookline St @ Green St","platform","0","","","","42.363303","-71.101948","true","missing_parent_station"
"969","Cambridge St @ Dustin St","platform","0","","","","42.350864","-71.145539","true","missing_parent_station"
"1116","Cambridge St @ Mass Pike Exit","platform","0","","","","42.360621","-71.118743","true","missing_parent_station"
"966","Cambridge St @ N Beacon St","platform","0","","","","42.353442","-71.137948","true","missing_parent_station"
"1114","Cambridge St @ N Harvard St","platform","0","","","","42.357758","-71.126505","true","missing_parent_station"
"1115","Cambridge St @ Seattle St","platform","0","","","","42.358658","-71.123967","true","missing_parent_station"
"922","Cambridge St opp Dustin St","platform","0","","","","42.350692","-71.145688","true","missing_parent_station"
"933","Commonwealth Ave @ Babcock St","platform","0","","","","42.351568","-71.121168","true","missing_parent_station"
"11972","Guest St opp New Balance Way","platform","0","","","","42.356714","-71.14318","true","missing_parent_station"
"76121","Harvard","platform","0","place-harsq","","B1","42.37372","-71.119121","true","parent_not_loaded"
"1041","Market St @ Centola St","platform","0","","","","42.359279","-71.147082","true","missing_parent_station"
"1040","Market St @ Guest St","platform","0","","","","42.357313","-71.148285","true","missing_parent_station"
"2073","Mt Auburn St @ Brewer St","platform","0","","","","42.373956","-71.124752","true","missing_parent_station"
"2026","Mt Auburn St @ Traill St","platform","0","","","","42.375072","-71.136647","true","missing_parent_station"
"2564","N Harvard St opp Harvard Stadium Gate 2","platform","0","","","","42.36708","-71.124824","true","missing_parent_station"
"2442","Prospect St @ Harvard St","platform","0","","","","42.36839","-71.101745","true","missing_parent_station"
"1056","River St @ Fairmont St","platform","0","","","","42.362565","-71.112387","true","missing_parent_station"
"2615","Washington St opp Parker St","platform","0","","","","42.379408","-71.100221","true","missing_parent_station"
"1061","Western Ave @ Kinnaird St","platform","0","","","","42.364952","-71.108901","true","missing_parent_station"
"1064","Western Ave @ Putnam Ave","platform","0","","","","42.364492","-71.114114","true","missing_parent_station"